City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
lebu,-37.6167,-73.65,59.07,78,97,2.98,CL,1623435133
kahului,20.8947,-156.47,81.34,65,1,6.91,US,1623435133
kapaa,22.0752,-159.319,79.12,69,75,4.0,US,1623435134
rikitea,-23.1203,-134.9692,75.18,84,91,16.6,PF,1623435339
victoria,22.2855,114.1577,83.32,91,60,10.0,HK,1623435390
bethel,41.3712,-73.414,79.81,44,1,8.05,US,1623435135
lata,40.1629,-8.3327,75.34,48,34,7.72,PT,1623435453
avarua,-21.2078,-159.775,71.65,78,75,9.22,CK,1623435454
tabou,4.423,-7.3528,77.68,86,100,1.57,CI,1623435454
punta arenas,-53.15,-70.9167,41.02,93,0,6.91,CL,1623435428
ushuaia,-54.8,-68.3,40.66,75,0,1.14,AR,1623435455
quang ngai,15.1167,108.8,77.92,88,100,3.71,VN,1623435455
port alfred,-33.5906,26.891,68.86,62,8,10.56,ZA,1623435138
hermanus,-34.4187,19.2345,63.9,67,93,2.44,ZA,1623435138
bengkulu,-3.8004,102.2655,76.33,86,96,3.78,ID,1623435139
lagoa,39.05,-27.9833,67.57,80,69,2.51,PT,1623435139
chokurdakh,70.6333,147.9167,46.13,55,3,8.34,RU,1623435140
qaanaaq,77.484,-69.3632,39.6,82,92,5.23,GL,1623435140
voi,-3.3945,38.563,68.7,84,57,11.5,KE,1623435141
torbay,47.6666,-52.7314,52.57,62,75,17.27,CA,1623435141
port augusta,-32.5,137.7667,51.94,86,97,2.44,AU,1623435141
ponta do sol,32.6667,-17.1,77.63,61,0,5.64,PT,1623435142
chuy,-33.6971,-53.4616,54.32,60,65,11.56,UY,1623435142
tiksi,71.6872,128.8694,48.9,72,100,9.48,RU,1623435143
airai,-8.9266,125.4092,56.46,89,24,2.66,TL,1623435143
nikolskoye,59.7035,30.7861,71.49,61,100,6.24,RU,1623435144
mataura,-46.1927,168.8643,37.26,95,15,3.15,NZ,1623435144
puri,19.8,85.85,86.38,78,100,9.57,IN,1623435145
tuktoyaktuk,69.4541,-133.0374,41.0,87,40,8.05,CA,1623435145
longyearbyen,78.2186,15.6401,37.24,60,75,2.3,SJ,1623435145
merritt island,28.5392,-80.672,98.15,55,75,8.05,US,1623434939
yarada,17.65,83.2667,84.52,74,90,8.05,IN,1623435146
severnoye,56.3491,78.3619,45.43,79,39,1.21,RU,1623435146
busselton,-33.65,115.3333,53.1,84,87,3.96,AU,1623435147
imbituba,-28.24,-48.6703,67.89,67,1,11.07,BR,1623435147
bandarbeyla,9.4942,50.8122,79.18,81,78,32.53,SO,1623435147
yellowknife,62.456,-114.3525,52.32,100,90,11.5,CA,1623435148
puerto ayora,-0.7393,-90.3518,84.16,87,84,5.99,EC,1623435148
cherskiy,68.75,161.3,36.73,71,16,6.6,RU,1623435149
emba,48.8264,58.1442,73.54,42,94,7.74,KZ,1623435149
tapalpa,19.95,-103.7667,75.83,37,2,1.77,MX,1623435150
calvinia,-31.4707,19.776,60.84,23,50,5.21,ZA,1623435150
upernavik,72.7868,-56.1549,34.9,94,21,11.72,GL,1623435151
kodiak,57.79,-152.4072,49.51,81,90,4.61,US,1623435139
dikson,73.5069,80.5464,31.89,99,100,4.97,RU,1623435151
hobart,-42.8794,147.3294,57.02,94,90,4.0,AU,1623434996
albany,42.6001,-73.9662,78.31,53,95,1.99,US,1623434864
havoysund,70.9963,24.6622,61.68,94,100,4.14,NO,1623435152
christchurch,-43.5333,172.6333,37.6,100,90,2.3,NZ,1623435130
taoudenni,22.6783,-3.9836,112.44,6,0,13.33,ML,1623435153
kruisfontein,-34.0033,24.7314,60.89,48,56,3.29,ZA,1623435153
fethiye,36.6217,29.1164,71.47,75,2,3.33,TR,1623434877
esperance,-33.8667,121.9,58.84,84,100,6.93,AU,1623435154
nouadhibou,20.931,-17.0347,75.18,69,5,11.5,MR,1623435154
joutseno,61.118,28.5076,69.85,71,58,8.08,FI,1623435155
mount gambier,-37.8333,140.7667,46.92,95,3,3.27,AU,1623435155
magadan,59.5667,150.8,45.77,65,0,2.39,RU,1623435156
guaruja,-23.9931,-46.2564,73.0,82,100,9.75,BR,1623435156
riyadh,24.6877,46.7219,100.45,8,0,13.8,SA,1623435008
brandon,27.9378,-82.2859,94.15,62,1,1.01,US,1623435043
salalah,17.0151,54.0924,84.29,89,20,9.22,OM,1623435157
kushima,31.4583,131.2333,72.12,97,100,6.64,JP,1623435157
pisco,-13.7,-76.2167,68.05,68,90,17.27,PE,1623435158
